Country,Region/State,"Zip/PostAN Code","Weight (and above)","Shipping Price"
FR,*,*,1.6,30.81538462
FR,*,*,1.7,32.59230769
FR,*,*,1.8,34.36923077
FR,*,*,1.9,36.14615385
FR,*,*,2,37.92307692
FR,*,*,2.1,39.7
FR,*,*,2.2,41.47692308
FR,*,*,2.3,43.25384615
FR,*,*,2.4,45.03076923
FR,*,*,2.5,46.80769231
FR,*,*,2.6,48.58461538
FR,*,*,2.7,50.36153846
FR,*,*,2.8,52.13846154
FR,*,*,2.9,53.91538462
FR,*,*,3,55.69230769
FR,*,*,3.1,57.46923077
FR,*,*,3.2,59.24615385
FR,*,*,3.3,61.02307692
FR,*,*,3.4,62.8
FR,*,*,3.5,64.57692308
FR,*,*,3.6,66.35384615
FR,*,*,3.7,68.13076923
FR,*,*,3.8,69.90769231
FR,*,*,3.9,71.68461538
FR,*,*,4,73.46153846
DE,*,*,0.1,4.161538462
DE,*,*,0.2,5.938461538
DE,*,*,0.4,9.492307692
DE,*,*,0.5,11.26923077
DE,*,*,0.6,13.04615385
DE,*,*,0.8,16.6
DE,*,*,0.9,18.37692308
DE,*,*,1,20.15384615
DE,*,*,1.1,21.93076923
DE,*,*,1.2,23.70769231
DE,*,*,1.3,25.48461538
DE,*,*,1.4,27.26153846
DE,*,*,1.5,29.03846154
DE,*,*,1.6,30.81538462
DE,*,*,1.7,32.59230769
DE,*,*,1.8,34.36923077
DE,*,*,1.9,36.14615385
DE,*,*,2,37.92307692
DE,*,*,2.1,39.7
DE,*,*,2.2,41.47692308
DE,*,*,2.3,43.25384615
DE,*,*,2.4,45.03076923
DE,*,*,2.5,46.80769231
DE,*,*,2.6,48.58461538
DE,*,*,2.7,50.36153846
DE,*,*,2.8,52.13846154
DE,*,*,2.9,53.91538462
DE,*,*,3,55.69230769
DE,*,*,3.1,57.46923077
DE,*,*,3.2,59.24615385
DE,*,*,3.3,61.02307692
DE,*,*,3.4,62.8
DE,*,*,3.5,64.57692308
DE,*,*,3.6,66.35384615
DE,*,*,3.7,68.13076923
DE,*,*,3.8,69.90769231
DE,*,*,3.9,71.68461538
DE,*,*,4,73.46153846
HU,*,*,0.1,4.161538462
HU,*,*,0.2,5.938461538
HU,*,*,0.4,9.492307692
HU,*,*,0.5,11.26923077
HU,*,*,0.6,13.04615385
HU,*,*,0.8,16.6
HU,*,*,0.9,18.37692308
HU,*,*,1,20.15384615
HU,*,*,1.1,21.93076923
HU,*,*,1.2,23.70769231
HU,*,*,1.3,25.48461538
HU,*,*,1.4,27.26153846
HU,*,*,1.5,29.03846154
HU,*,*,1.6,30.81538462
HU,*,*,1.7,32.59230769
HU,*,*,1.8,34.36923077
HU,*,*,1.9,36.14615385
HU,*,*,2,37.92307692
HU,*,*,2.1,39.7
HU,*,*,2.2,41.47692308
HU,*,*,2.3,43.25384615
HU,*,*,2.4,45.03076923
HU,*,*,2.5,46.80769231
HU,*,*,2.6,48.58461538
HU,*,*,2.7,50.36153846
HU,*,*,2.8,52.13846154
HU,*,*,2.9,53.91538462
HU,*,*,3,55.69230769
HU,*,*,3.1,57.46923077
HU,*,*,3.2,59.24615385
HU,*,*,3.3,61.02307692
HU,*,*,3.4,62.8
HU,*,*,3.5,64.57692308
HU,*,*,3.6,66.35384615
HU,*,*,3.7,68.13076923
HU,*,*,3.8,69.90769231
HU,*,*,3.9,71.68461538
HU,*,*,4,73.46153846
IE,*,*,0.1,4.161538462
IE,*,*,0.2,5.938461538
IE,*,*,0.4,9.492307692
IE,*,*,0.5,11.26923077
IE,*,*,0.6,13.04615385
IE,*,*,0.8,16.6
IE,*,*,0.9,18.37692308
IE,*,*,1,20.15384615
IE,*,*,1.1,21.93076923
IE,*,*,1.2,23.70769231
IE,*,*,1.3,25.48461538
IE,*,*,1.4,27.26153846
IE,*,*,1.5,29.03846154
IE,*,*,1.6,30.81538462
IE,*,*,1.7,32.59230769
IE,*,*,1.8,34.36923077
IE,*,*,1.9,36.14615385
IE,*,*,2,37.92307692
IE,*,*,2.1,39.7
IE,*,*,2.2,41.47692308
IE,*,*,2.3,43.25384615
IE,*,*,2.4,45.03076923
IE,*,*,2.5,46.80769231
IE,*,*,2.6,48.58461538
IE,*,*,2.7,50.36153846
IE,*,*,2.8,52.13846154
IE,*,*,2.9,53.91538462
IE,*,*,3,55.69230769
IE,*,*,3.1,57.46923077
IE,*,*,3.2,59.24615385
IE,*,*,3.3,61.02307692
IE,*,*,3.4,62.8
IE,*,*,3.5,64.57692308
IE,*,*,3.6,66.35384615
IE,*,*,3.7,68.13076923
IE,*,*,3.8,69.90769231
IE,*,*,3.9,71.68461538
IE,*,*,4,73.46153846
IT,*,*,0.1,4.161538462
IT,*,*,0.2,5.938461538
IT,*,*,0.4,9.492307692
IT,*,*,0.5,11.26923077
IT,*,*,0.6,13.04615385
IT,*,*,0.8,16.6
IT,*,*,0.9,18.37692308
IT,*,*,1,20.15384615
IT,*,*,1.1,21.93076923
IT,*,*,1.2,23.70769231
IT,*,*,1.3,25.48461538
IT,*,*,1.4,27.26153846
IT,*,*,1.5,29.03846154
IT,*,*,1.6,30.81538462
IT,*,*,1.7,32.59230769
IT,*,*,1.8,34.36923077
IT,*,*,1.9,36.14615385
IT,*,*,2,37.92307692
IT,*,*,2.1,39.7
IT,*,*,2.2,41.47692308
IT,*,*,2.3,43.25384615
IT,*,*,2.4,45.03076923
IT,*,*,2.5,46.80769231
IT,*,*,2.6,48.58461538
IT,*,*,2.7,50.36153846
IT,*,*,2.8,52.13846154
IT,*,*,2.9,53.91538462
IT,*,*,3,55.69230769
IT,*,*,3.1,57.46923077
IT,*,*,3.2,59.24615385
IT,*,*,3.3,61.02307692
IT,*,*,3.4,62.8
IT,*,*,3.5,64.57692308
IT,*,*,3.6,66.35384615
IT,*,*,3.7,68.13076923
IT,*,*,3.8,69.90769231
IT,*,*,3.9,71.68461538
IT,*,*,4,73.46153846
LU,*,*,0.1,4.161538462
LU,*,*,0.2,5.938461538
LU,*,*,0.4,9.492307692
LU,*,*,0.5,11.26923077
LU,*,*,0.6,13.04615385
LU,*,*,0.8,16.6
LU,*,*,0.9,18.37692308
LU,*,*,1,20.15384615
LU,*,*,1.1,21.93076923
LU,*,*,1.2,23.70769231
LU,*,*,1.3,25.48461538
LU,*,*,1.4,27.26153846
LU,*,*,1.5,29.03846154
LU,*,*,1.6,30.81538462
LU,*,*,1.7,32.59230769
LU,*,*,1.8,34.36923077
LU,*,*,1.9,36.14615385
LU,*,*,2,37.92307692
LU,*,*,2.1,39.7
LU,*,*,2.2,41.47692308
LU,*,*,2.3,43.25384615
LU,*,*,2.4,45.03076923
LU,*,*,2.5,46.80769231
LU,*,*,2.6,48.58461538
LU,*,*,2.7,50.36153846
LU,*,*,2.8,52.13846154
LU,*,*,2.9,53.91538462
