Country,Region/State,Zip/PostAN Code,Weight (and above),shipping fee price
BF,*,*,4.9,163.0153847
BF,*,*,5,166.2692307
BG,*,*,0.1,6.830769231
BG,*,*,0.2,10.08461538
BG,*,*,0.3,13.33846154
BG,*,*,0.4,16.59230769
BG,*,*,0.5,19.84615385
BG,*,*,0.6,23.1
BG,*,*,0.7,26.35384616
BG,*,*,0.8,29.60769231
BG,*,*,0.9,32.86153847
BG,*,*,1,36.11538462
BG,*,*,1.1,39.36923078
BG,*,*,1.2,42.62307693
BG,*,*,1.3,45.87692307
BG,*,*,1.4,49.13076923
BG,*,*,1.5,52.38461538
BG,*,*,1.6,55.63846154
BG,*,*,1.7,58.89230769
BG,*,*,1.8,62.14615385
BG,*,*,1.9,65.4
BG,*,*,2,68.65384616
BG,*,*,2.1,71.90769231
BG,*,*,2.2,75.16153847
BG,*,*,2.3,78.41538462
BG,*,*,2.4,81.66923078
BG,*,*,2.5,84.92307693
BG,*,*,2.6,88.17692307
BG,*,*,2.7,91.43076923
BG,*,*,2.8,94.68461538
BG,*,*,2.9,97.93846154
BG,*,*,3,101.1923077
BG,*,*,3.1,104.4461538
BG,*,*,3.2,107.7
BG,*,*,3.3,110.9538462
BG,*,*,3.4,114.2076923
BG,*,*,3.5,117.4615385
BG,*,*,3.6,120.7153846
BG,*,*,3.7,123.9692308
BG,*,*,3.8,127.2230769
BG,*,*,3.9,130.4769231
BG,*,*,4,133.7307692
BG,*,*,4.1,136.9846154
BG,*,*,4.2,140.2384615
BG,*,*,4.3,143.4923077
BG,*,*,4.4,146.7461538
BG,*,*,4.5,150
BG,*,*,4.6,153.2538462
BG,*,*,4.7,156.5076923
BG,*,*,4.8,159.7615385
BG,*,*,4.9,163.0153847
BG,*,*,5,166.2692307
BI,*,*,0.1,6.830769231
BI,*,*,0.2,10.08461538
BI,*,*,0.3,13.33846154
BI,*,*,0.4,16.59230769
BI,*,*,0.5,19.84615385
BI,*,*,0.6,23.1
BI,*,*,0.7,26.35384616
BI,*,*,0.8,29.60769231
BI,*,*,0.9,32.86153847
BI,*,*,1,36.11538462
BI,*,*,1.1,39.36923078
BI,*,*,1.2,42.62307693
BI,*,*,1.3,45.87692307
BI,*,*,1.4,49.13076923
BI,*,*,1.5,52.38461538
BI,*,*,1.6,55.63846154
BI,*,*,1.7,58.89230769
BI,*,*,1.8,62.14615385
BI,*,*,1.9,65.4
BI,*,*,2,68.65384616
BI,*,*,2.1,71.90769231
BI,*,*,2.2,75.16153847
BI,*,*,2.3,78.41538462
BI,*,*,2.4,81.66923078
BI,*,*,2.5,84.92307693
BI,*,*,2.6,88.17692307
BI,*,*,2.7,91.43076923
BI,*,*,2.8,94.68461538
BI,*,*,2.9,97.93846154
BI,*,*,3,101.1923077
BI,*,*,3.1,104.4461538
BI,*,*,3.2,107.7
BI,*,*,3.3,110.9538462
BI,*,*,3.4,114.2076923
BI,*,*,3.5,117.4615385
BI,*,*,3.6,120.7153846
BI,*,*,3.7,123.9692308
BI,*,*,3.8,127.2230769
BI,*,*,3.9,130.4769231
BI,*,*,4,133.7307692
BI,*,*,4.1,136.9846154
BI,*,*,4.2,140.2384615
BI,*,*,4.3,143.4923077
BI,*,*,4.4,146.7461538
BI,*,*,4.5,150
BI,*,*,4.6,153.2538462
BI,*,*,4.7,156.5076923
BI,*,*,4.8,159.7615385
BI,*,*,4.9,163.0153847
BI,*,*,5,166.2692307
BJ,*,*,0.1,6.830769231
BJ,*,*,0.2,10.08461538
BJ,*,*,0.3,13.33846154
BJ,*,*,0.4,16.59230769
BJ,*,*,0.5,19.84615385
BJ,*,*,0.6,23.1
BJ,*,*,0.7,26.35384616
BJ,*,*,0.8,29.60769231
BJ,*,*,0.9,32.86153847
BJ,*,*,1,36.11538462
BJ,*,*,1.1,39.36923078
BJ,*,*,1.2,42.62307693
BJ,*,*,1.3,45.87692307
BJ,*,*,1.4,49.13076923
BJ,*,*,1.5,52.38461538
BJ,*,*,1.6,55.63846154
BJ,*,*,1.7,58.89230769
BJ,*,*,1.8,62.14615385
BJ,*,*,1.9,65.4
BJ,*,*,2,68.65384616
BJ,*,*,2.1,71.90769231
BJ,*,*,2.2,75.16153847
BJ,*,*,2.3,78.41538462
BJ,*,*,2.4,81.66923078
BJ,*,*,2.5,84.92307693
BJ,*,*,2.6,88.17692307
BJ,*,*,2.7,91.43076923
BJ,*,*,2.8,94.68461538
BJ,*,*,2.9,97.93846154
BJ,*,*,3,101.1923077
BJ,*,*,3.1,104.4461538
BJ,*,*,3.2,107.7
BJ,*,*,3.3,110.9538462
BJ,*,*,3.4,114.2076923
BJ,*,*,3.5,117.4615385
BJ,*,*,3.6,120.7153846
BJ,*,*,3.7,123.9692308
BJ,*,*,3.8,127.2230769
BJ,*,*,3.9,130.4769231
BJ,*,*,4,133.7307692
BJ,*,*,4.1,136.9846154
BJ,*,*,4.2,140.2384615
BJ,*,*,4.3,143.4923077
BJ,*,*,4.4,146.7461538
BJ,*,*,4.5,150
BJ,*,*,4.6,153.2538462
BJ,*,*,4.7,156.5076923
BJ,*,*,4.8,159.7615385
BJ,*,*,4.9,163.0153847
BJ,*,*,5,166.2692307
BO,*,*,0.1,6.830769231
BO,*,*,0.2,10.08461538
BO,*,*,0.3,13.33846154
BO,*,*,0.4,16.59230769
BO,*,*,0.5,19.84615385
BO,*,*,0.6,23.1
BO,*,*,0.7,26.35384616
BO,*,*,0.8,29.60769231
BO,*,*,0.9,32.86153847
BO,*,*,1,36.11538462
BO,*,*,1.1,39.36923078
BO,*,*,1.2,42.62307693
BO,*,*,1.3,45.87692307
BO,*,*,1.4,49.13076923
BO,*,*,1.5,52.38461538
BO,*,*,1.6,55.63846154
BO,*,*,1.7,58.89230769
BO,*,*,1.8,62.14615385
BO,*,*,1.9,65.4
BO,*,*,2,68.65384616
BO,*,*,2.1,71.90769231
BO,*,*,2.2,75.16153847
BO,*,*,2.3,78.41538462
BO,*,*,2.4,81.66923078
BO,*,*,2.5,84.92307693
BO,*,*,2.6,88.17692307
BO,*,*,2.7,91.43076923
BO,*,*,2.8,94.68461538
BO,*,*,2.9,97.93846154
BO,*,*,3,101.1923077
BO,*,*,3.1,104.4461538
BO,*,*,3.2,107.7
BO,*,*,3.3,110.9538462
BO,*,*,3.4,114.2076923
BO,*,*,3.5,117.4615385
BO,*,*,3.6,120.7153846
BO,*,*,3.7,123.9692308
BO,*,*,3.8,127.2230769
BO,*,*,3.9,130.4769231
BO,*,*,4,133.7307692
BO,*,*,4.1,136.9846154
BO,*,*,4.2,140.2384615
BO,*,*,4.3,143.4923077
BO,*,*,4.4,146.7461538
